date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-02-26,26.51,36.67,17.36,15.97,0.0,1.75,3.46,0.88,42.3,0.12,0.23,0.24
2014-02-27,27.44,37.98,18.77,15.15,0.0,1.31,2.53,0.67,50.1,0.12,0.23,0.24
2014-02-28,27.94,36.22,19.21,17.01,0.0,0.76,1.54,0.1,328.8,0.12,0.23,0.24
2014-03-01,26.69,33.6,20.91,22.38,0.34,1.53,2.39,0.77,323.6,0.13,0.23,0.24
2014-03-02,26.65,32.85,20.73,24.35,0.09,1.16,1.86,0.4,48.7,0.13,0.23,0.24
2014-03-03,27.54,34.71,21.56,36.65,0.1,1.43,2.2,0.9,113.6,0.14,0.23,0.24
2014-03-04,27.39,35.94,19.74,32.4,0.0,1.25,2.62,0.62,64.1,0.14,0.23,0.24
2014-03-05,28.55,37.82,19.62,20.93,0.24,0.97,1.97,0.45,79.0,0.14,0.23,0.24
2014-03-06,30.13,37.53,22.76,28.16,0.1,0.87,2.05,0.11,126.5,0.14,0.23,0.24
2014-03-07,29.25,38.09,23.0,23.14,1.5,1.21,1.92,0.75,17.1,0.16,0.24,0.24
2014-03-08,27.85,38.34,18.81,16.79,0.04,1.31,2.3,0.68,10.7,0.17,0.24,0.24
2014-03-09,27.12,36.37,18.78,11.24,0.0,2.25,3.92,1.27,31.9,0.15,0.23,0.24
2014-03-10,25.58,34.7,17.08,11.5,0.0,1.63,3.01,0.74,44.1,0.14,0.23,0.24
2014-03-11,25.33,35.68,15.85,8.45,0.0,1.82,2.94,0.79,38.2,0.13,0.23,0.24
2014-03-12,25.48,36.41,15.28,9.38,0.0,1.95,3.82,0.98,49.7,0.13,0.23,0.24
2014-03-13,26.19,36.92,16.51,11.77,0.0,1.73,3.71,0.95,56.4,0.12,0.23,0.24
2014-03-14,28.13,39.0,18.34,16.85,0.0,1.68,3.47,0.89,57.7,0.12,0.23,0.24
2014-03-15,30.0,39.67,20.83,23.46,0.0,1.8,3.31,0.7,80.1,0.12,0.23,0.24
2014-03-16,30.5,40.6,21.45,16.85,0.0,1.89,3.9,0.88,94.0,0.12,0.23,0.24
2014-03-17,30.58,40.11,20.85,16.23,0.0,1.71,3.42,0.78,110.3,0.12,0.23,0.24
2014-03-18,30.98,39.79,23.75,17.6,0.15,1.4,3.04,0.2,62.9,0.12,0.23,0.24
2014-03-19,29.13,39.25,19.95,15.03,0.0,1.78,3.22,0.45,59.0,0.12,0.23,0.24
2014-03-20,28.96,37.79,21.61,15.3,0.0,2.13,3.84,1.06,54.3,0.11,0.23,0.24
2014-03-21,28.79,39.37,20.49,12.53,0.0,1.52,3.06,0.89,59.9,0.11,0.23,0.23
2014-03-22,30.41,40.15,20.54,10.86,0.0,0.96,1.6,0.29,66.7,0.11,0.23,0.23
2014-03-23,30.51,38.22,22.38,30.88,0.0,1.17,2.38,0.59,249.4,0.11,0.23,0.23
2014-03-24,32.44,39.96,25.26,34.86,0.0,1.48,2.77,0.49,300.3,0.11,0.23,0.23
2014-03-25,31.41,40.33,24.18,21.43,0.0,1.56,3.06,0.74,315.2,0.11,0.23,0.23
2014-03-26,31.34,40.42,23.82,18.07,0.0,1.71,3.53,0.75,291.0,0.11,0.23,0.23
2014-03-27,30.65,39.82,23.87,23.83,0.01,1.56,3.38,0.55,273.6,0.11,0.23,0.23
2014-03-28,31.51,39.74,24.35,34.68,0.0,1.18,2.24,0.46,224.9,0.11,0.23,0.23
2014-03-29,32.31,39.52,24.83,35.0,0.0,1.8,3.61,0.64,246.2,0.11,0.23,0.23
2014-03-30,32.8,40.78,25.42,22.42,0.01,1.56,2.28,0.61,329.0,0.11,0.23,0.23
2014-03-31,32.65,40.9,23.48,21.13,0.0,1.36,2.31,0.54,320.8,0.11,0.23,0.23
2014-04-01,31.52,40.73,23.29,11.45,0.0,1.57,2.72,0.7,10.3,0.1,0.23,0.23
2014-04-02,30.99,39.65,22.48,8.98,0.0,1.71,2.85,0.74,35.2,0.1,0.23,0.23
2014-04-03,31.79,40.65,24.17,9.94,0.0,1.71,2.94,0.88,39.8,0.1,0.23,0.23
2014-04-04,31.33,40.89,23.07,10.08,0.0,2.07,3.49,1.06,41.0,0.09,0.23,0.23
2014-04-05,31.05,40.99,21.92,10.79,0.0,1.65,2.75,0.75,34.2,0.09,0.23,0.23
2014-04-06,31.39,38.2,23.46,21.76,0.11,0.93,2.77,0.11,211.6,0.1,0.23,0.23
2014-04-07,32.42,40.47,25.6,34.15,0.03,1.78,3.21,0.78,283.1,0.1,0.23,0.23
2014-04-08,33.26,41.16,26.14,34.99,0.6,1.88,2.99,1.03,339.2,0.11,0.23,0.23
2014-04-09,33.14,40.5,26.9,27.94,0.8,2.37,3.1,1.29,15.8,0.14,0.23,0.23
2014-04-10,31.66,39.55,25.13,21.54,0.01,1.98,3.55,0.93,82.1,0.14,0.23,0.23
2014-04-11,31.19,40.32,22.79,19.04,1.0,1.48,2.5,0.8,82.5,0.15,0.23,0.23
2014-04-12,31.6,40.49,24.29,21.16,0.88,1.62,3.25,0.64,81.8,0.17,0.23,0.23
2014-04-13,31.24,40.5,22.94,16.06,0.11,2.04,3.54,0.85,89.6,0.16,0.23,0.23
2014-04-14,31.9,41.52,22.52,17.89,0.15,1.22,2.07,0.49,76.1,0.15,0.23,0.23
2014-04-15,32.34,40.69,24.29,41.01,0.75,2.18,3.82,0.61,288.1,0.15,0.23,0.23
2014-04-16,34.87,41.73,28.24,24.61,3.22,1.09,2.35,0.15,34.7,0.21,0.23,0.24
2014-04-17,32.31,38.62,26.16,44.74,3.68,1.55,2.98,0.6,215.6,0.28,0.24,0.24
2014-04-18,31.18,36.4,27.08,51.37,1.35,1.55,2.56,0.63,211.1,0.29,0.24,0.24
2014-04-19,30.91,38.28,25.28,51.68,3.06,1.56,2.28,0.45,201.1,0.29,0.24,0.24
2014-04-20,30.46,37.14,25.03,56.73,7.02,1.53,2.8,0.8,204.5,0.35,0.25,0.24
2014-04-21,31.23,38.08,25.3,50.47,3.53,1.66,2.31,0.79,262.2,0.33,0.25,0.25
2014-04-22,31.63,39.43,24.6,43.45,2.03,1.08,2.29,0.13,52.6,0.3,0.25,0.25
2014-04-23,31.31,38.88,23.87,47.09,2.31,1.51,3.01,0.69,127.9,0.28,0.25,0.25
2014-04-24,30.52,36.52,25.29,55.15,5.34,1.8,2.41,1.07,161.4,0.32,0.25,0.25
2014-04-25,31.27,38.71,24.47,53.34,4.45,1.71,2.81,0.4,175.0,0.35,0.26,0.25
2014-04-26,31.75,38.8,25.91,49.67,1.46,2.04,3.17,0.74,244.9,0.3,0.26,0.25
2014-04-27,30.25,35.65,25.65,54.31,0.69,1.27,2.14,0.06,225.7,0.28,0.26,0.25
2014-04-28,29.17,35.93,24.89,56.45,1.0,2.02,3.81,0.52,176.2,0.27,0.25,0.25
2014-04-29,31.26,39.46,24.37,47.95,0.86,1.84,2.64,0.83,156.1,0.26,0.25,0.25
2014-04-30,30.99,37.16,25.89,49.84,1.68,1.74,2.6,0.63,207.4,0.26,0.25,0.25
2014-05-01,30.61,36.24,25.45,53.18,2.85,1.96,2.6,0.71,260.3,0.3,0.26,0.25
2014-05-02,32.11,39.31,25.39,45.14,1.06,1.89,2.63,0.76,165.4,0.27,0.26,0.25
2014-05-03,30.04,36.16,25.42,57.88,9.91,1.55,2.49,0.59,185.9,0.35,0.26,0.26
2014-05-04,28.3,31.92,24.61,66.02,6.48,1.04,1.93,0.44,83.3,0.41,0.28,0.27
2014-05-05,29.02,35.5,24.24,56.6,5.89,1.34,2.39,0.55,64.1,0.36,0.28,0.27
2014-05-06,30.62,37.79,23.66,51.4,1.36,1.62,2.48,0.66,128.3,0.34,0.28,0.27
2014-05-07,29.47,33.53,25.24,57.22,0.3,0.98,1.66,0.47,192.2,0.27,0.28,0.27
2014-05-08,31.14,38.32,24.34,47.65,0.31,1.21,1.92,0.24,285.6,0.26,0.27,0.27
2014-05-09,30.76,37.17,25.02,46.04,0.33,1.41,2.15,0.53,36.7,0.24,0.27,0.27
2014-05-10,31.03,38.8,23.19,41.77,0.21,1.37,2.55,0.13,10.7,0.23,0.27,0.27
2014-05-11,31.14,39.22,24.27,26.49,0.02,1.3,2.4,0.3,27.6,0.22,0.27,0.27
2014-05-12,31.32,39.98,23.39,42.08,0.22,1.69,3.54,0.69,148.5,0.21,0.26,0.27
2014-05-13,28.91,33.49,24.69,59.39,0.29,1.91,2.9,0.51,98.9,0.22,0.26,0.27
2014-05-14,29.76,36.47,23.74,40.74,0.02,2.22,3.42,0.99,52.3,0.22,0.26,0.27
2014-05-15,29.79,37.75,23.0,29.53,0.0,2.02,3.73,0.92,83.0,0.2,0.26,0.26
2014-05-16,31.18,39.86,23.72,30.83,0.0,1.21,2.26,0.62,98.7,0.19,0.26,0.26
2014-05-17,31.56,40.8,23.58,37.28,0.02,1.74,2.58,0.9,133.4,0.19,0.26,0.26
2014-05-18,33.16,41.65,25.42,38.12,0.0,1.55,2.17,0.76,148.5,0.18,0.26,0.26
2014-05-19,33.19,41.45,25.36,42.39,0.01,1.78,3.07,0.28,202.8,0.18,0.26,0.26
2014-05-20,33.59,41.27,26.89,40.35,0.01,1.81,3.17,0.67,126.1,0.18,0.25,0.26
2014-05-21,32.96,41.77,26.18,34.12,0.01,1.54,3.09,0.36,100.2,0.17,0.25,0.26
2014-05-22,33.15,41.55,24.88,42.55,0.28,1.93,3.3,0.53,168.6,0.17,0.25,0.26
2014-05-23,34.02,41.76,27.33,37.4,0.25,1.68,2.89,0.1,193.2,0.18,0.25,0.26
2014-05-24,34.01,41.95,26.51,37.04,0.04,1.61,2.42,0.41,188.8,0.17,0.25,0.26
2014-05-25,34.23,42.08,27.2,38.43,0.27,1.91,3.41,0.22,202.7,0.17,0.25,0.26
2014-05-26,34.29,41.27,27.73,40.57,3.26,1.84,2.58,0.49,137.1,0.23,0.26,0.26
2014-05-27,33.41,40.19,26.9,45.22,0.81,1.99,2.86,1.23,142.1,0.25,0.26,0.26
2014-05-28,30.39,35.21,26.46,58.71,6.23,1.28,2.25,0.61,177.7,0.32,0.26,0.26
2014-05-29,29.57,35.01,25.62,59.56,2.46,1.52,2.6,0.47,137.8,0.34,0.27,0.26
2014-05-30,31.5,39.39,24.05,47.81,0.0,1.4,2.03,0.78,133.1,0.28,0.27,0.26
2014-05-31,32.32,40.77,24.32,46.14,0.24,1.78,2.97,0.37,167.3,0.23,0.26,0.26
2014-06-01,32.76,40.76,26.24,45.09,0.1,1.4,2.52,0.26,193.6,0.21,0.26,0.26
2014-06-02,32.74,40.07,25.8,45.06,0.74,1.27,2.29,0.06,205.8,0.21,0.26,0.26
2014-06-03,30.97,36.07,26.47,50.95,0.19,1.46,2.43,0.54,216.3,0.22,0.26,0.26
2014-06-04,32.23,39.44,25.88,42.14,0.11,1.86,3.14,0.8,140.6,0.21,0.26,0.26
2014-06-05,30.91,37.31,25.27,46.51,0.75,1.88,2.6,1.43,167.4,0.21,0.26,0.26
2014-06-06,32.05,39.03,25.65,47.49,1.43,1.19,2.56,0.1,227.9,0.23,0.26,0.26
2014-06-07,32.22,39.76,25.63,46.93,0.07,1.76,2.58,0.71,175.3,0.23,0.26,0.26
2014-06-08,32.06,40.08,25.1,46.82,0.49,1.83,2.98,1.08,161.8,0.21,0.26,0.26
2014-06-09,31.11,36.55,26.15,50.43,0.65,1.55,2.69,0.86,237.6,0.22,0.26,0.26
2014-06-10,30.05,34.39,26.26,53.83,0.33,1.24,2.53,0.4,245.2,0.23,0.26,0.26
2014-06-11,29.55,34.52,25.14,54.67,2.15,1.07,1.52,0.54,160.4,0.26,0.26,0.26
2014-06-12,31.18,38.64,24.31,44.89,1.75,1.47,2.49,0.68,125.7,0.28,0.26,0.26
2014-06-13,31.75,39.0,24.9,46.24,3.29,1.25,1.98,0.65,259.3,0.29,0.26,0.26
2014-06-14,31.14,38.96,24.15,48.83,1.68,1.81,2.79,0.68,281.1,0.28,0.26,0.26
2014-06-15,31.33,39.98,23.36,48.41,1.0,1.55,2.49,0.78,239.9,0.26,0.26,0.26
2014-06-16,31.23,38.12,25.36,50.92,1.79,1.33,2.28,0.3,184.4,0.26,0.26,0.26
2014-06-17,30.63,36.53,25.56,49.07,0.75,1.32,2.27,0.6,142.0,0.27,0.26,0.26
2014-06-18,32.24,39.57,25.22,42.85,1.09,1.18,2.15,0.27,205.2,0.25,0.26,0.26
2014-06-19,32.05,39.97,24.62,44.95,0.8,1.53,2.49,0.7,268.8,0.24,0.26,0.26
2014-06-20,29.64,34.55,24.84,56.79,3.24,1.25,2.46,0.15,252.0,0.29,0.26,0.26
2014-06-21,31.42,38.73,24.91,50.26,3.05,1.3,1.8,0.73,278.8,0.32,0.27,0.27
2014-06-22,30.99,38.63,24.44,52.96,4.06,1.8,2.64,0.75,142.9,0.32,0.27,0.27
2014-06-23,29.6,37.31,23.67,57.14,5.23,1.79,2.51,1.08,159.6,0.34,0.27,0.27
2014-06-24,30.46,38.89,22.33,52.61,0.36,1.4,2.46,0.09,172.5,0.3,0.27,0.27
2014-06-25,31.09,38.31,23.85,52.87,3.33,1.47,2.53,0.36,233.5,0.3,0.27,0.27
2014-06-26,31.26,38.42,24.41,50.67,1.15,1.31,2.05,0.54,225.6,0.28,0.27,0.27
2014-06-27,30.65,36.73,24.76,53.05,5.2,1.13,1.59,0.35,251.2,0.33,0.27,0.27
2014-06-28,28.38,33.3,23.93,64.28,9.16,1.08,1.93,0.26,219.4,0.41,0.28,0.28
