date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-02-26,25.98,36.25,17.34,16.89,0.0,1.28,2.4,0.71,50.8,0.15,0.22,0.23
2014-02-27,26.82,37.43,18.34,16.54,0.0,0.96,1.87,0.49,52.2,0.15,0.22,0.23
2014-02-28,28.07,37.51,19.11,16.8,0.0,0.59,0.97,0.05,353.4,0.15,0.22,0.23
2014-03-01,25.54,33.2,19.01,18.5,0.1,0.9,1.61,0.48,344.7,0.16,0.22,0.23
2014-03-02,27.06,34.74,20.83,25.94,0.0,0.61,1.25,0.08,71.9,0.16,0.22,0.23
2014-03-03,27.2,35.32,20.17,36.13,0.09,0.94,1.48,0.41,78.2,0.17,0.22,0.23
2014-03-04,26.69,35.95,18.89,28.16,0.0,0.94,1.99,0.49,74.4,0.17,0.22,0.23
2014-03-05,27.69,37.66,18.42,22.09,0.15,0.7,1.41,0.12,70.7,0.17,0.22,0.23
2014-03-06,29.17,37.84,21.31,24.37,0.07,0.62,1.55,0.07,94.5,0.17,0.22,0.23
2014-03-07,28.7,37.78,22.45,23.57,0.39,0.7,1.07,0.41,26.5,0.17,0.22,0.23
2014-03-08,27.82,38.9,18.35,15.21,0.01,0.99,1.55,0.6,12.7,0.17,0.22,0.23
2014-03-09,26.29,36.27,16.73,11.59,0.0,1.53,2.63,0.8,41.5,0.16,0.22,0.23
2014-03-10,25.18,34.86,16.21,11.79,0.0,1.31,2.18,0.65,49.8,0.15,0.22,0.23
2014-03-11,24.91,35.54,14.74,9.85,0.0,1.33,2.17,0.63,49.8,0.15,0.22,0.23
2014-03-12,25.29,36.15,15.11,10.34,0.0,1.47,2.65,0.77,55.3,0.14,0.22,0.23
2014-03-13,25.8,36.61,16.35,12.85,0.0,1.25,2.65,0.67,66.4,0.14,0.22,0.23
2014-03-14,27.75,38.69,18.45,17.08,0.0,1.31,2.58,0.74,62.8,0.14,0.22,0.23
2014-03-15,29.91,39.42,20.79,21.67,0.0,1.42,2.71,0.63,70.9,0.15,0.22,0.23
2014-03-16,29.97,40.54,20.73,17.66,0.0,1.23,2.44,0.63,81.8,0.15,0.22,0.23
2014-03-17,30.0,40.16,19.93,17.73,0.0,1.12,2.17,0.59,107.2,0.14,0.22,0.23
2014-03-18,29.9,39.41,22.45,17.43,0.08,0.97,1.98,0.09,65.6,0.15,0.22,0.23
2014-03-19,28.87,39.06,19.74,16.14,0.0,1.43,2.33,0.69,63.7,0.14,0.21,0.23
2014-03-20,28.5,37.98,20.62,16.41,0.0,1.54,2.64,0.75,59.4,0.14,0.21,0.23
2014-03-21,28.37,39.32,19.41,14.61,0.0,1.09,2.3,0.53,72.0,0.14,0.21,0.23
2014-03-22,30.1,40.09,19.25,13.01,0.0,0.72,1.05,0.4,76.7,0.14,0.21,0.23
2014-03-23,30.91,38.72,22.51,29.9,0.0,1.08,1.82,0.64,231.7,0.14,0.21,0.23
